Constructor,Year,DNF
Prost,2000,4
Arrows,2000,1
Sauber,2000,2
Minardi,2001,5
Arrows,2001,1
BAR,2001,3
McLaren,2001,1
Minardi,2002,2
Williams,2002,1
Toyota,2002,2
Ferrari,2002,1
Jordan,2002,2
Arrows,2002,6
Minardi,2002,2
BAR,2003,2
Minardi,2003,2
Ferrari,2003,7
BAR,2003,3
Jaguar,2003,1
Jordan,2003,1
Minardi,2004,1
Jordan,2004,1
Minardi,2004,1
McLaren,2004,7
Sauber,2005,1
Minardi,2005,4
Williams,2005,1
Minardi,2005,8
Toyota,2005,24
MF1,2006,2
Williams,2006,7
McLaren,2006,2
McLaren,2006,2
Honda,2006,17
Toyota,2006,7
Toyota,2006,4
Ferrari,2006,2
Williams,2006,7
Williams,2006,3
Red Bull,2007,23
Williams,2007,8
Spyker,2007,4
Toyota,2007,21
Toro Rosso,2007,12
Spyker,2007,1
Toro Rosso,2007,10
BMW Sauber,2007,4
Honda,2007,12
Toro Rosso,2007,4
Toyota,2007,19
Toyota,2008,212
Renault,2008,74
Renault,2008,20
BMW Sauber,2008,313
Toyota,2008,1
Toyota,2008,55
Toro Rosso,2008,259
Renault,2008,137
Force India,2008,107
Honda,2008,22
Toro Rosso,2008,7
Super Aguri,2008,2
Ferrari,2008,125
Toro Rosso,2008,74
Super Aguri,2008,36
Force India,2008,13
Ferrari,2009,1
Williams,2011,1
Sauber,2012,18
Williams,2012,4
Lotus F1,2014,5
Toro Rosso,2014,25
Red Bull,2014,3
Ferrari,2015,1
Williams,2015,1
Force India,2017,1
Ferrari,2017,1
