Driver,Constructor,Race,Laps,LapTime,TopSpeed,Year,Nationality,Points,Position,PitstopMs
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,18088
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,22790
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,22946
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23061
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23229
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23267
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23309
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23345
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23409
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23500
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23526
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,23760
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,24047
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,24202
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,24423
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,26764
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,28869
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,31256
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,31596
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,51757
Lewis Hamilton,Mercedes,Canadian Grand Prix,70,01:14.6,210.588,2017,British,129,2,106374
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,18088
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,22790
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,22946
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23061
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23229
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23267
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23309
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23345
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23409
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23500
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23526
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,23760
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,24047
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,24202
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,24423
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,26764
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,28869
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,31256
Valtteri Bottas,Mercedes,Canadian Grand Prix,70,01:15.9,206.862,2017,Finnish,93,3,31596
